sat_key,former_code,unique_code,description,pieces_per_package,number_of_pieces,accesories_kit,supplier,exterior_color_or_design,product_type,line,classification,main_material,resistance_main_material,design_type,impression,warehouse,rack,level,wholesale,retail,sat_unit_key,wholesale_unit,only_measure,outer_length,inner_length,price,child,parent,factor,average,stores_discount,retails_discount,discount_when_armed,store
60111400,,P1716,Colgante decorativo calabaza,1,,,Comercializadora de Cartón y Diseño,,,alimentos y regalos,de línea,,,,,,,,,,H87,,,,,1.73,,,,,35,35,,
60111400,,P1717,Colgante decorativo araña,1,,,Comercializadora de Cartón y Diseño,,,alimentos y regalos,de línea,,,,,,,,,,H87,,,,,1.73,,,,,35,35,,
60141000,,9996,Globo liso con aire,1,,,Comercializadora de Cartón y Diseño,,,alimentos y regalos,de línea,,,,,,,,,,H87,,,,,12.94,,,,,27,27,,
60141000,,9997,Globo liso con helio,1,,,Comercializadora de Cartón y Diseño,,,alimentos y regalos,de línea,,,,,,,,,,H87,,,,,17.25,,,,,27,27,,
60141000,,9998,Globo estampado con aire,1,,,Comercializadora de Cartón y Diseño,,,alimentos y regalos,de línea,,,,,,,,,,H87,,,,,30.18,,,,,27,27,,
60141000,,9999,Globo estampado con helio,1,,,Comercializadora de Cartón y Diseño,,,alimentos y regalos,de línea,,,,,,,,,,H87,,,,,34.49,,,,,27,27,,
60141000,,B050,Tae Chico ,1,,,Comercializadora de Cartón y Diseño,,,alimentos y regalos,de línea,,,,,,,,,,H87,,,,,25.87,,,,,35,35,,
14121500,,1003C,Ecoburo combo zapatera 6 espacios cuadros,1,,,Comercializadora de Cartón y Diseño,cuadros,,hogar,de línea,,,,,,,,,,H87,,,,,97.41,,,,,35,35,,
14121500,,1003FL,Ecoburo combo zapatera 6 espacios flores lila,1,,,Comercializadora de Cartón y Diseño,flores lila,,hogar,de línea,,,,,,,,,,H87,,,,,97.41,,,,,35,35,,
14121500,,1003FM,Ecoburo combo zapatera 6 espacios flores moradas,1,,,Comercializadora de Cartón y Diseño,flores moradas,,hogar,de línea,,,,,,,,,,H87,,,,,97.41,,,,,35,35,,
14121500,,1003R,Ecoburo combo zapatera 6 espacios rayas,1,,,Comercializadora de Cartón y Diseño,rayas,,hogar,de línea,,,,,,,,,,H87,,,,,97.41,,,,,35,35,,
14121500,,1004C,Ecoburo combo zapatera 9 espacios cuadros,1,,,Comercializadora de Cartón y Diseño,cuadros,,hogar,de línea,,,,,,,,,,H87,,,,,110.78,,,,,35,35,,
14121500,,1004FL,Ecoburo combo zapatera 9 espacios flores lila,1,,,Comercializadora de Cartón y Diseño,flores lila,,hogar,de línea,,,,,,,,,,H87,,,,,110.78,,,,,35,35,,
14121500,,1004FM,Ecoburo combo zapatera 9 espacios flores moradas,1,,,Comercializadora de Cartón y Diseño,flores moradas,,hogar,de línea,,,,,,,,,,H87,,,,,110.78,,,,,35,35,,
14121500,,1004R,Ecoburo combo zapatera 9 espacios rayas,1,,,Comercializadora de Cartón y Diseño,rayas,,hogar,de línea,,,,,,,,,,H87,,,,,110.78,,,,,35,35,,
24112500,,B0325,Cubo contraencolado 9x9x9 beige,1,,,Comercializadora de Cartón y Diseño,beige,,productos de tienda 30,de tienda,,,,,,,,,,H87,,,,,6.03,,,,,20,20,,Bubambilias
24112500,,B052,Caja de acetato 13x13.5x18,1,,,Comercializadora de Cartón y Diseño,transparente,,productos de tienda 30,de tienda,,,,,,,,,,H87,,,,,15,,,,,20,20,,Bubambilias
24112500,,B1500A,Caja hexagono de acetato 14x7,1,,,Comercializadora de Cartón y Diseño,transparente,,productos de tienda 30,de tienda,,,,,,,,,,H87,,,,,13,,,,,20,20,,Bubambilias
24112500,,B1600G,Caja muñeca mini especial gris,1,,,Comercializadora de Cartón y Diseño,gris,,productos de tienda 30,de tienda,,,,,,,,,,H87,,,,,5.17,,,,,20,20,,Bubambilias
