sat_key,former_code,unique_code,description,pieces_per_package,number_of_pieces,accesories_kit,supplier,exterior_color_or_design,product_type,line,classification,main_material,resistance_main_material,design_type,impression,warehouse,rack,level,wholesale,retail,sat_unit_key,wholesale_unit,only_measure,outer_length,inner_length,price,child,parent,factor,average,stores_discount,retails_discount,discount_when_armed
14121500,1002,1002C,Ecoburo combo zapatera 12 espacios cuadros,1,6,,Comercializadora de Cartón y Diseño,Cuadros,Zapatera,hogar,de línea,Corrugado,44 ECT,,sí,Corrugado,,,,,H87,,38 x 33 x 63,,,142.24,,,,,35,35,
14121500,1002,1002FL,Ecoburo combo zapatera 12 espacios flores lila,1,6,,Comercializadora de Cartón y Diseño,Flores Lila,Zapatera,hogar,de línea,Corrugado,44 ECT,,sí,Corrugado,,,,,H87,,38 x 33 x 63,,,142.24,,,,,35,35,
14121500,1002,1002FM,Ecoburo combo zapatera 12 espacios flores moradas,1,6,,Comercializadora de Cartón y Diseño,Flores Moradas,Zapatera,hogar,de línea,Corrugado,44 ECT,,sí,Corrugado,,,,,H87,,38 x 33 x 63,,,142.24,,,,,35,35,
14121500,1002,1002R,Ecoburo combo zapatera 12 espacios rayas,1,6,,Comercializadora de Cartón y Diseño,Rayas,Zapatera,hogar,de línea,Corrugado,44 ECT,,sí,Corrugado,,,,,H87,,38 x 33 x 63,,,142.24,,,,,35,35,
14121500,1005,1005C,Ecoburo combo zapatera 8 espacios cuadros,1,5,,Comercializadora de Cartón y Diseño,Cuadros,Zapatera,hogar,de línea,Corrugado,44 ECT,,sí,Corrugado,,,,,H87,,38 x 33 x 63,,,128.02,,,,,35,35,
14121500,1005,1005FL,Ecoburo combo zapatera 8 espacios flores lila,1,5,,Comercializadora de Cartón y Diseño,Flores Lila,Zapatera,hogar,de línea,Corrugado,44 ECT,,sí,Corrugado,,,,,H87,,38 x 33 x 63,,,128.02,,,,,35,35,
14121500,1005,1005FM,Ecoburo combo zapatera 8 espacios flores moradas,1,5,,Comercializadora de Cartón y Diseño,Flores Moradas,Zapatera,hogar,de línea,Corrugado,44 ECT,,sí,Corrugado,,,,,H87,,38 x 33 x 63,,,128.02,,,,,35,35,
14121500,1005,1005R,Ecoburo combo zapatera 8 espacios rayas,1,5,,Comercializadora de Cartón y Diseño,Rayas,Zapatera,hogar,de línea,Corrugado,44 ECT,,sí,Corrugado,,,,,H87,,38 x 33 x 63,,,128.02,,,,,35,35,
14121500,1007,1007C,Ecoburo combo p/bolsa de dama cuadros,1,3,,Comercializadora de Cartón y Diseño,Cuadros,,hogar,de línea,Corrugado,44 ECT,,sí,Corrugado,,,,,H87,,38 x 33 x 63,,,102.59,,,,,35,35,
14121500,1007,1007FL,Ecoburo combo p/bolsa de dama flores lila,1,3,,Comercializadora de Cartón y Diseño,Flores Lila,,hogar,de línea,Corrugado,44 ECT,,sí,Corrugado,,,,,H87,,38 x 33 x 63,,,102.59,,,,,35,35,
14121500,1007,1007FM,Ecoburo combo p/bolsa de dama flores moradas,1,3,,Comercializadora de Cartón y Diseño,Flores Moradas,,hogar,de línea,Corrugado,44 ECT,,sí,Corrugado,,,,,H87,,38 x 33 x 63,,,102.59,,,,,35,35,
14121500,1007,1007R,Ecoburo combo p/bolsa de dama rayas,1,3,,Comercializadora de Cartón y Diseño,Rayas,,hogar,de línea,Corrugado,44 ECT,,sí,Corrugado,,,,,H87,,38 x 33 x 63,,,102.59,,,,,35,35,
14121500,1007,1017T,Ecoburo combo zapatera 8 espacios turquesa,1,5,,Comercializadora de Cartón y Diseño,Turquesa,Zapatera,hogar,de línea,Corrugado,44 ECT,,sí,Corrugado,,,,,H87,,38 x 33 x 63,,,175,,,,,35,35,
14121500,1007,1017V,Ecoburo combo zapatera 8 espacios vintage,1,5,,Comercializadora de Cartón y Diseño,Vintage,Zapatera,hogar,de línea,Corrugado,44 ECT,,sí,Corrugado,,,,,H87,,38 x 33 x 63,,,175,,,,,35,35,
14121500,1007,1018T,Ecoburo combo zapatera 12 espacios turquesa,1,6,,Comercializadora de Cartón y Diseño,Turquesa,Zapatera,hogar,de línea,Corrugado,44 ECT,,sí,Corrugado,,,,,H87,,38 x 33 x 63,,,193.53,,,,,35,35,
14121500,1007,1018V,Ecoburo combo zapatera 12 espacios vintage,1,6,,Comercializadora de Cartón y Diseño,Vintage,Zapatera,hogar,de línea,Corrugado,44 ECT,,sí,Corrugado,,,,,H87,,38 x 33 x 63,,,193.53,,,,,35,35,
14121500,1101,1101,Archiva extra ,1,1,,Comercializadora de Cartón y Diseño,Blanco,Maletin,oficina,de línea,Corrugado,44 ECT,Maletín,,Corrugado,,,,,H87,,35 x 15 x 27,,,40.52,,,,,35,35,
14121500,1201,1201C,Ecoburo 3 cajones cuadros,1,6,,Comercializadora de Cartón y Diseño,Cuadros,Cajonera,hogar,de línea,Corrugado,44 ECT,,,Corrugado,,,,,H87,,26 x 36 x 28,,,123.71,,,,,35,35,
14121500,1201,1201FL,Ecoburo 3 cajones  flores lila,1,6,,Comercializadora de Cartón y Diseño,Flores Lila,Cajonera,hogar,de línea,Corrugado,44 ECT,,,Corrugado,,,,,H87,,26 x 36 x 28,,,123.71,,,,,35,35,
14121500,1201,1201R,Ecoburo 3 cajones  rayas,1,6,,Comercializadora de Cartón y Diseño,Rayas,Cajonera,hogar,de línea,Corrugado,44 ECT,,,Corrugado,,,,,H87,,26 x 36 x 28,,,123.71,,,,,35,35,
14121500,1205,1205T,Ecojoyero turquesa,1,5,,Comercializadora de Cartón y Diseño,Turquesa,,hogar,de línea,Contraencolado,44 ECT,Cajonera,,,,,,,H87,,10.5 x 12.8 x 15,,,65.52,,,,,35,35,
14121500,1205,1205V,Ecojoyero vintage,1,5,,Comercializadora de Cartón y Diseño,Vintage,,hogar,de línea,Contraencolado,44 ECT,,,,,,,,H87,,10.5 x 12.8 x 15,,,65.52,,,,,35,35,
14121500,1301,1301T,Caja sastre chica turquesa,1,2,,Comercializadora de Cartón y Diseño,Turquesa,,hogar,de línea,Contraencolado,45 ECT,,,,,,,,H87,,35 x 26 x 10,,,55.17,,,,,35,35,
14121500,1301,1301V,Caja sastre chica vintage,1,2,,Comercializadora de Cartón y Diseño,Vintage,,hogar,de línea,Contraencolado,46 ECT,,,,,,,,H87,,35 x 26 x 10,,,55.17,,,,,35,35,
14121500,1305,1305,Caja sastre mini,1,1,,Comercializadora de Cartón y Diseño,Kraft,,hogar,de línea,Corrugado,44 ECT,Base y tapa,,Corrugado,,,,,H87,,22.5 x 30.5 x 7,,,33.19,,,,,35,35,
14121500,1306,1306,Caja sastre chica,1,2,,Comercializadora de Cartón y Diseño,Kraft,,hogar,de línea,Corrugado,44 ECT,Base y tapa,,Corrugado,,,,,H87,,35 x 26 x 10,,,40.95,,,,,35,35,
14121500,1307,1307,Caja sastre mediana,1,2,,Comercializadora de Cartón y Diseño,Kraft,,hogar,de línea,Corrugado,44 ECT,Base y tapa,,Corrugado,,,,,H87,,49 x 42 x 10,,,71.98,,,,,35,35,
14121500,1308,1308,Caja sastre grande,1,2,,Comercializadora de Cartón y Diseño,Kraft,,hogar,de línea,Corrugado,44 ECT,Base y tapa,,Corrugado,,,,,H87,,81 x 50 x 13,,,121.12,,,,,35,35,
14121500,1309,1309C,Caja sastre chica decorada cuadros,1,2,,Comercializadora de Cartón y Diseño,Cuadros,,hogar,de línea,Corrugado,44 ECT,Base y tapa,,Corrugado,,,,,H87,,35 x 26 x 10,,,50.86,,,,,35,35,
14121500,1309,1309FL,Caja sastre chica decorada flores lila,1,2,,Comercializadora de Cartón y Diseño,Flores Lila,,hogar,de línea,Corrugado,44 ECT,Base y tapa,,Corrugado,,,,,H87,,35 x 26 x 10,,,50.86,,,,,35,35,
14121500,1309,1309R,Caja sastre chica decorada rayas,1,2,,Comercializadora de Cartón y Diseño,Rayas,,hogar,de línea,Corrugado,44 ECT,Base y tapa,,Corrugado,,,,,H87,,35 x 26 x 10,,,50.86,,,,,35,35,
14121500,1309,1309Z,Caja sastre chica decorada zigzag,1,2,,Comercializadora de Cartón y Diseño,Zigzag,,hogar,de línea,Corrugado,44 ECT,Base y tapa,,Corrugado,,,,,H87,,35 x 26 x 10,,,50.86,,,,,35,35,
14121500,1310,1310C,Caja sastre mediana decorada cuadros,1,2,,Comercializadora de Cartón y Diseño,Cuadros,,hogar,de línea,Corrugado,44 ECT,Base y tapa,,Corrugado,,,,,H87,,49 x 42 x 10,,,81.03,,,,,35,35,
14121500,1310,1310FL,Caja sastre mediana decorada flores lila,1,2,,Comercializadora de Cartón y Diseño,Flores Lila,,hogar,de línea,Corrugado,44 ECT,Base y tapa,,Corrugado,,,,,H87,,49 x 42 x 10,,,81.03,,,,,35,35,
14121500,1310,1310R,Caja sastre mediana decorada rayas,1,2,,Comercializadora de Cartón y Diseño,Rayas,,hogar,de línea,Corrugado,44 ECT,Base y tapa,,Corrugado,,,,,H87,,49 x 42 x 10,,,81.03,,,,,35,35,
14121500,1310,1310Z,Caja sastre mediana decorada zigzag,1,2,,Comercializadora de Cartón y Diseño,Zigzag,,hogar,de línea,Corrugado,44 ECT,Base y tapa,,Corrugado,,,,,H87,,49 x 42 x 10,,,81.03,,,,,35,35,
14121500,1311,1311C,Caja sastre grande decorado cuadros,1,2,,Comercializadora de Cartón y Diseño,Cuadros,,hogar,de línea,Corrugado,44 ECT,Base y tapa,,Corrugado,,,,,H87,,81 x 50 x 13,,,131.47,,,,,35,35,
14121500,1311,1311FL,Caja sastre grande decorado flores lila,1,2,,Comercializadora de Cartón y Diseño,Flores Lila,,hogar,de línea,Corrugado,44 ECT,Base y tapa,,Corrugado,,,,,H87,,81 x 50 x 13,,,131.47,,,,,35,35,
14121500,1311,1311R,Caja sastre grande decorado rayas,1,2,,Comercializadora de Cartón y Diseño,Rayas,,hogar,de línea,Corrugado,44 ECT,Base y tapa,,Corrugado,,,,,H87,,81 x 50 x 13,,,131.47,,,,,35,35,
14121500,1311,1311Z,Caja sastre grande decorado zigzag,1,2,,Comercializadora de Cartón y Diseño,Zigzag,,hogar,de línea,Corrugado,44 ECT,Base y tapa,,Corrugado,,,,,H87,,81 x 50 x 13,,,131.47,,,,,35,35,
14121500,1502,1502,Archivo plástico oficio,1,1,,Comercializadora de Cartón y Diseño,Blanco,,oficina,de línea,Plástico,,Tapa integrada,,Corrugado,,,,,H87,,50 x 38 x 26,,,119.83,,,,,35,35,
14121500,1503,1503,Archivo plástico economico,1,2,,Comercializadora de Cartón y Diseño,Blanco,,oficina,de línea,Plástico,,Base y tapa,,Corrugado,,,,,H87,,37 x 31 x 28,,,70.26,,,,,35,35,
14121500,1801,1801,Lh 00 neceser,1,1,,Comercializadora de Cartón y Diseño,Kraft,,hogar,de línea,Corrugado,44 ECT,Tapa integrada,,Corrugado,,,,,H87,,25 x 17 x 12.5,,,28.88,,,,,35,35,
14121500,1802,1802C,Pc archivo 80 decorada cuadros,1,1,,Comercializadora de Cartón y Diseño,Cuadros,,hogar,de línea,Corrugado,55 ECT,Tapa integrada,,Corrugado,,,,,H87,,78 x 40 x 30,,,128.02,,,,,35,35,
14121500,1802,1802FL,Pc archivo 80 decorada flores lila,1,1,,Comercializadora de Cartón y Diseño,Flores Lila,,hogar,de línea,Corrugado,55 ECT,Tapa integrada,,Corrugado,,,,,H87,,78 x 40 x 30,,,128.02,,,,,35,35,
14121500,1802,1802R,Pc archivo 80 decorada rayas,1,1,,Comercializadora de Cartón y Diseño,Rayas,,hogar,de línea,Corrugado,55 ECT,Tapa integrada,,Corrugado,,,,,H87,,78 x 40 x 30,,,128.02,,,,,35,35,
14121500,1803,1803C,Pc archivo 50 decorada cuadros,1,1,,Comercializadora de Cartón y Diseño,Cuadros,,hogar,de línea,Corrugado,55 ECT,Tapa integrada,,Corrugado,,,,,H87,,50 x 35 x 25,,,89.22,,,,,35,35,
14121500,1803,1803FL,Pc archivo 50 decorada flores lila,1,1,,Comercializadora de Cartón y Diseño,Flores Lila,,hogar,de línea,Corrugado,55 ECT,Tapa integrada,,Corrugado,,,,,H87,,50 x 35 x 25,,,89.22,,,,,35,35,
14121500,1803,1803R,Pc archivo 50 decorada rayas,1,1,,Comercializadora de Cartón y Diseño,Rayas,,hogar,de línea,Corrugado,55 ECT,Tapa integrada,,Corrugado,,,,,H87,,50 x 35 x 25,,,89.22,,,,,35,35,
