cod,desc,cant,estante,nivel,costo_unitario
1002,ecoburo combo zapatera 12 espacios 38x33x63,,,,
1005,ecoburo combo zapatera 8 espacios 38x33x63,,,,
1007,ecoburo combo p/bolsa de dama 38x33x63,,,,
1101,archiva extra 35x15x27,,,,
1201,ecoburo (3 cajones) 26x36x28,,,,
1205,ecojoyero vintage y turquesa 10.5x12.8x15,,,,
1301,caja sastre chica vintage y turquesa  35x26x10,,,,
1305,caja sastre mini 22.5x30.5x7,,,,
1306,caja sastre chica  35x26x10,,,,
1307,caja sastre mediana 49x42x10,,,,
1308,caja sastre grande 81x50x13,,,,
1309,caja sastre chica impresa  35x26x10,,,,
1310,caja sastre mediana impresa 49x42x10,,,,
1311,caja sastre grande impresa 81x50x13,,,,
1502,archivo plástico oficio 50x38x26,,,,
1503,archivo plástico economico 37x31x28,,,,
1801,lh 00 neceser 25x17x12.5,,,,
1802,pc archivo 80 decorada 78x40x30,,,,
1803,pc archivo 50 decorada 50x35x25,,,,
1804,pc archivo 30 decorada 38x30x25,,,,
1805,lh 00 neceser decorado 25x17x12.5,,,,
1905,ecoburo combo grande 4 cajones 38x33x63,,,,
1906,ecoburo combo chico 3 cajones 38x34x49,,,,
2001,correcajon mediano 18x14x10,,,,
2002,concentra cajon mediano 30.5x19.5x22,,,,
2003,correcajon grande 23x23x15.5,,,,
2005,concentra cajon grande 23x24.5x31.5,,,,
2006,correcajon chico 12.7x19.2x8.4,,,,
2007,concentra cajon chico 20x27x9,,,,
2008,concentra cd 30.4x16.7x26,,,,
2010,corre cd 24.5x14x15.5,,,,
2302,cofre chico 18x12x8.5,,,,
2303,hexagono 3 charolas 10.5x10.5x11,,,,
2304,lapicero c/divisiones 8.5x8.5x9.5,,,,
2305,dispenser unipecos 9.5x9.5x3.5,,,,
2306,gavetero 3 cajones 12x14x12,,,,
2307,hexagono grande 13.5x13.5x8,,,,
2308,hexágono mediano  12x12x7,,,,
2309,hexágono chico 10x10x7,,,,
2313,alhajero secreter 17x11.5x9,,,,
2314,porta unipcos c/cajón 11x11x10.5,,,,
2315,revistero 25x10.5x30,,,,
2317,portatarjeta 10x6x3.5,,,,
2318,portaretratos 19x24,,,,
2319,caja lapicera 22x8x3.5,,,,
2320,clinera 23x12x5.5,,,,
2323,estuche p/reloj 20.5x5.5x2.5,,,,
2324,estuchep/pluma 17x5x2,,,,
2326,joyero rectangular  26.5x12x8,,,,
2327,octagono 25x25x14,,,,
2328,porta clips 11x7x7,,,,
2401,pc archivo 80 super 55 ect 78x40x30,,,,
2402,pc archivo 70 oficio largo 55 ect 60x35x25,,,,
2403,pc archivo 50 oficio 55 ect 50x35x25,,,,
2404,pc archivo 40 carta 55 ect 50x31x25,,,,
2405,pc archivo 30 mixto 55 ect 38x30x25,,,,
2406,pc archivo 20 1/2 carta largo 44 ect 50x23x16,,,,
2407,pc archivo 10 1/2 carta 44 ect 25x23x16,,,,
2409,pc archivo 60 carta larga 55 ect 60x31x25,,,,
2410,pc archivo 55 archivo carpeta 55 ect 50x35x29,,,,
2413,pc archivo 40 blanca alta 44 ect 50x31x25,,,,
2501,dc archivo 70 oficio larga económica 40 ect 60x35x25,,,,
2502,dc archivo 60 carta larga económica 40 ect 60x31x25,,,,
2503,dc archivo 50 oficio económica 40 ect 50x35x25,,,,
2504,dc archivo 40 carta económica 40 ect 50x31x25,,,,
2505,dc archivo 30 archivo mixta económica 40 ect 38x30x25,,,,
2506,dc archivo 55 archivo carpeta 40 ect 50x35x29,,,,
2602,eco 40 archivo carta 26 ect 50x31x25,,,,
2603,eco 50 archivo oficio 26 ect 50x35x25,,,,
2804,archidiario 44 ect 39x17.5x30,,,,
2900,sobre jiffylite # 0 16x22,,,,
2901,sobre jiffylite # 1 18.5x27.5,,,,
2902,sobre jiffylite # 2 21.5x30.5,,,,
2903,sobre jiffylite # 4 24x37,,,,
2904,sobre jiffylite # 5 27x37,,,,
2905,sobre jiffylite # 7 36.5x50.5,,,,
2906,sobre jiffylite # 000 12x18,,,,
2907,sobre manila t/carta 23x30.5,,,,
2908,sobre manila t/oficio 26x34,,,,
3103,archigaveta oficio largo 44 ect 40x64.5x28,,,,
3203,archiva oficio corr. bond 44 ect 35x10x26.5,,,,
3204,archiva carta corr. bond  44 ect 31x10x26.5,,,,
3401,maletin micro blanco 35x27x9,,,,
3402,maletin blanco corrugado 44 ect 37.5x26x10.5,,,,
3404,sobre ecológico carta 44 ect 34.5x24.5x2.8,,,,
3405,sobre ecológico t/oficio 44 ect 36x25.5x3,,,,
3501,reviarchivo grande 29 ect 26.5x12x25.9,,,,
3502,reviarchivo chico 26 ect 23x10x24,,,,
3503,revistero chico c/e vintage y turqueza 23x10x25,,,,
3206,archiva gob 1 44 ect 38x12x30,,,,
3601,archiva gob 1 economica 29 ect 38x12x30,,,,
3602,archiva gob 2 44 ect 38x19x30,,,,
3701,tubo portaplano  1.09 cm,,,,
3702,tubo portaplano  91.5 cm,,,,
3703,tubo portaplano  78 cm,,,,
3704,tubo portaplano  66 cm,,,,
3705,tubo portaplano  33.5,,,,
3801,tarjetero grande 44 ect 22x14x13,,,,
3802,tarjetero mediano 44 ect 15.5x10.5x11,,,,
3803,tarjetero chico 44 ect 13.5x8.5x9,,,,
3912,carpeta c/herraje de argolla 3/4 carta kraft ,,,,
3913,"carpeta c/herraje de argolla 1"" carta kraft ",,,,
3914,"carpeta c/herraje de argolla 2"" carta kraft ",,,,
3915,"carpeta c/herraje de argolla 3"" carta kraft ",,,,
3916,folder carta kraft  29.6x23.5,,,,
3917,folder oficio kraft  34.6x23.5,,,,
3922,dispenser unipecos kraft ,,,,
3924,lapicero con divisiones kraft ,,,,
3925,portatarjetas kraft ,,,,
3926,sobre tipo bolsa carta kraft  ,,,,
3927,sobre tipo bolsa oficio kraft  ,,,,
3932,libreta forma francesa kraft ,,,,
3933,libreta 1/4 de carta kraft ,,,,
3935,pluma ecologica de papel reciclado kraft  ,,,,
3941,archiva carta ecologica 29 ect 31x10x26.5,,,,
3942,archiva oficio ecologica 29 ect 35x10x26.5,,,,
3943,reviarchivo grande ecologico 29 ect 26.5x12x26,,,,
3944,archiva gob 1 ecologica ,,,,
3945,portaretrato kraft ,,,,
3946,sobre tipo bolsa kraft 1/2 carta  14.5x22,,,,
4002,polipack 1/8 x105 1/8 x 105mts,,,,
4004,burbuja de aire chica 3/16 (120 mts) 1.22 x 120 mt,,,,
4005,burbuja de aire gde 1/2 (60 mts) 1.22 x 60 mt,,,,
4101,mic pack(por bolsa) ,,,,
4201,rollo cartón corrugado 2.00 altura,,,,
4202,rollo-microkraft  100 mts. 1.00 altura ,,,,
4203,micro color  77x54,,,,
4206,codigo es servicio de empaque ,,,,
4207,lamina de corrugado 29 ect 74 x 121 mt,,,,
4208,lamina de corrugado 29 ect 1.00 x 1.50 mt,,,,
4209,lamina doble corrugado 1.95x2.10mt,,,,
4211,lamina micro bond y kraft .80 x 1.60 mt,,,,
4212,lámina micro bond y kraft .60 x 90 mt,,,,
4213,lámina caple .60 x 1.25 mt,,,,
4217,separador p/12 botellas 29 ect ,,,,
4301,rollo papelkraft (precio x kilo) 1.25,,,,
4302,rollo papelkraft(precio x kilo) 90,,,,
4303,rollo papelkraft(precio x kilo) 60,,,,
4304,rollo papelkraft(precio x kilo) 1,,,,
4305,papelkraft 1.25 x metro (180 mts aprox) ,,,,
4401,cinta plástica chica  48 x 50 mts,,,,
4402,cinta plástica mediana 48 x 100 mts,,,,
4403,cinta plástica grande 48 x 150 mts,,,,
4404,"despachador de cinta 2"" 2""",,,,
4405,"engomado 3""",,,,
4406,"engomado  2.5""",,,,
4407,"engomado  2""",,,,
4408,"engomado  1""",,,,
4412,cinta impresa fragil  ,,,,
4502,millar de sellos 1/2 ,,,,
4503,flejadora ,,,,
4504,pinzas para flejar ,,,,
4507,fleje 1/2 negro precio x kilo ,,,,
4601,cutter grande  ,,,,
4603,cutter chico ,,,,
4604,marcador de aceite ,,,,
4605,silicato de sodio galón ,,,,
4606,bola rafia 1 kg aprox ,,,,
4609,rollo de blister 18¨x1200 pies calibre 50,,,,
4612,"etiqueta fragil, hecho en mexico, copa, arriba ",,,,
4613,esquineros 2¨x2¨x1.00,,,,
4615,bola papel arroz 200 mts. aprox. ,,,,
4618,etiqueta remitente-destinatario (jgo) ,,,,
4619,cinta masking tape  18x50,,,,
4620,cinta masking tape  24x50,,,,
4625,"blister 5"" x 1500 pies calibre 80 ",,,,
4702,le e7 estantera 44 ect  46x16x13 cm,,,,
4703,le e6 estantera 44 ect 32x11x11 cm,,,,
4704,le e5 estantera 44 ect 30x30x11 cm,,,,
4705,le e4 estantera 44 ect 30x15x20 cm,,,,
4706,le e3 estantera 44 ect 30x15x11 cm,,,,
4707,le e2 estantera 44 ect 30x10x11 cm,,,,
4708,le e01 estantera 44 ect 30x5x11 cm,,,,
4709,le e3 estantera económica 29 ect 30x15x11 cm,,,,
4710,ordenador de cajones 44 ect 29x10x6 cm,,,,
4801,cz 06 seis pares 23 ect 32x26x28,,,,
4802,cz 12 doce pares 23 ect 33x27x55,,,,
4803,cz 18 diesciocho pares 23 ect 48x27x55,,,,
4804,cz 24 veinticuatro pares 23 ect 48x35x55,,,,
4805,cz 36 treinta y seis pares 23 ect 53x48x55,,,,
