cod,desc,cant,estante,nivel,costo_unitario
1002,ECOBURO COMBO ZAPATERA 12 ESPACIOS,,,,
1003,ECOBURO COMBO ZAPATERA 6 ESPACIOS,,,,
1004,ECOBURO COMBO ZAPATERA 9 ESPACIOS,,,,
1005,ECOBURO COMBO ZAPATERA 8 ESPACIOS,,,,
1006,ECOBURO COMBO ZAPATERA C/8 CAJONES,1,,,
1007,ECOBURO COMBO P/BOLSA DE DAMA,1,,,
1012,ECOBURO COMBO ZAPATERA C/6 CAJONES,0,,,
1016,ECOBURO COMBO ZAPATERA 6 ESPACIOS vintage/turquesa,0,,,
1017,ECOBURO COMBO ZAPATERA 8 ESPACIOSvintage/turquesa,,,,
1101,ARCHIVA EXTRA,16,,,
1201,ECOBURO (3 CAJONES),,,,
1202,MINI GAVETIN ECOJOYERO,0,,,
1203,ECOPAPELERA 2 CAJONES,,,,
1204,ECOPAPELERA 3 CAJONES,,,,
1205,ECOJOYERO CONTRAENCOLADO,6,,,
1301,CAJA SASTRE CHICA VINTAGE Y TURQUESA,1,,,
1305,CAJA SASTRE MINI,15,,,
1306,CAJA SASTRE CHICA,22,,,
1307,CAJA SASTRE MEDIANA,3,,,
1308,CAJA SASTRE GRANDE,3,,,
1309,CAJA SASTRE CHICA IMPRESA,14,,,
1310,CAJA SASTRE MEDIANA IMPRESA,8,,,
1311,CAJA SASTRE GRANDE IMPRESA,,,,
1502,ARCHIVO PL�STICO OFICIO,,,,
1503,ARCHIVO PL�STICO ECONOMICO,,,,
1801,LH 00 NECESER,3,,,
1802,PC ARCHIVO 80 DECORADA,,,,
1803,PC ARCHIVO 50 DECORADA,0,,,
1804,PC ARCHIVO 30 DECORADA,0,,,
1805,LH 00 NECESER IMPRESO,43,,,
1806,PC 55 ARCHIVA DECORADA MADERA,,,,
1807,PC 55 ARCHIVA DECORADA HOJAS,,,,
1901,ECOBURO COMBO CHICO 3 CAJONES vintage/turquesa,0,,,
1902,ECOBURO COMBO GRANDE 4 CAJONES vintage/turquesa,0,,,
1905,ECOBURO COMBO GRANDE 4 CAJONES,,,,
1906,ECOBURO COMBO CHICO 3 CAJONES,0,,,
2001,CORREFICHERO 3 X 5,,,,
2002,CONCENTRA 4 FICHERO 3X5,2,,,
2003,CORREFICHERO 5 X 8,3,,,
2005,CONCENTRA 2 FICHERO 5X8,0,,,
2006,CORRECASSET,,,,
2007,CONCENTRA CASSET,,,,
2008,CONCENTRA CD,0,,,
2010,CORRE CD,1,,,
2301,MINI ROPERO,,,,
2302,COFRE CHICO,,,,
2303,HEXAGONO 3 CHAROLAS,15,,,
2304,LAPICERO C/DIVISIONES,0,,,
