cod,desc,cant,estante,nivel,costo_unitario
1002C,ECOBURO COMBO ZAPATERA 12 ESPACIOS CUADROS,1,,,
1002FL,ECOBURO COMBO ZAPATERA 12 ESPACIOS FLORES LILA,,,,
1002FM,ECOBURO COMBO ZAPATERA 12 ESPACIOS FLORES MORADAS,2,,,
1002R,ECOBURO COMBO ZAPATERA 12 ESPACIOS RAYAS,,,,
1003C,ECOBURO COMBO ZAPATERA 6 ESPACIOS CUADROS,,,,
1003FL,ECOBURO COMBO ZAPATERA 6 ESPACIOS FLORES LILA,,,,
1003FM,ECOBURO COMBO ZAPATERA 6 ESPACIOS FLORES MORADAS,,,,
1003R,ECOBURO COMBO ZAPATERA 6 ESPACIOS RAYAS,2,,,
1004C,ECOBURO COMBO ZAPATERA 9 ESPACIOS CUADROS,,,,
1004FL,ECOBURO COMBO ZAPATERA 9 ESPACIOS FLORES LILA,1,,,
1004FM,ECOBURO COMBO ZAPATERA 9 ESPACIOS FLORES MORADAS,,,,
1004R,ECOBURO COMBO ZAPATERA 9 ESPACIOS RAYAS,,,,
1005C,ECOBURO COMBO ZAPATERA 8 ESPACIOS CUADROS,,,,
1005FL,ECOBURO COMBO ZAPATERA 8 ESPACIOS FLORES LILA,,,,
1005FM,ECOBURO COMBO ZAPATERA 8 ESPACIOS FLORES MORADAS,,,,
1005R,ECOBURO COMBO ZAPATERA 8 ESPACIOS RAYAS,,,,
1006C,ECOBURO COMBO ZAPATERA C/8 CAJONES CUADROS,,,,
1006FL,ECOBURO COMBO ZAPATERA C/8 CAJONES FLORES LILA,,,,
1006FM,ECOBURO COMBO ZAPATERA C/8 CAJONES FLOES MORADAS,,,,
1006R,ECOBURO COMBO ZAPATERA C/8 CAJONES RAYAS,,,,
1007C,ECOBURO COMBO P/BOLSA DE DAMA CUADROS,,,,
1007FL,ECOBURO COMBO P/BOLSA DE DAMA FLORES LILA,,,,
1007FM,ECOBURO COMBO P/BOLSA DE DAMA FLORES MORADAS,1,,,
1007R,ECOBURO COMBO P/BOLSA DE DAMA RAYAS,,,,
1016T,ECOBURO COMBO ZAPATERA 6 ESPACIOS TURQUESA,,,,
1016V,ECOBURO COMBO ZAPATERA 6 ESPACIOS VINTAGE,,,,
1017T,ECOBURO COMBO ZAPATERA 8 ESPACIOS TURQUESA,,,,
1017V,ECOBURO COMBO ZAPATERA 8 ESPACIOS VINTAGE,,,,
1018T,ECOBURO COMBO ZAPATERA 12 ESPACIOS TURQUESA,,,,
1018V,ECOBURO COMBO ZAPATERA 12 ESPACIOS VINTAGE,,,,
1019T,ECOBURO COMBO ZAPATERA 9 ESPACIOS TURQUEZA,,,,
1019V,ECOBURO COMBO ZAPATERA 9 ESPACIOS VINTAGE,,,,
1101,ARCHIVA EXTRA MED.35X15X27,14,,,
1201C,ECOBURO 3 CAJONES CUADROS,,,,
1201FL,ECOBURO 3 CAJONES  FLORES LILA,,,,
1201R,ECOBURO 3 CAJONES  RAYAS,,,,
1202,ECOJOYERO MICRO KRAFT Y BOND,,,,
1203,ECOPAPELERO 2 CAJONES,3,,,
1204,ECOPAPELERO 3 CAJONES,2,,,
1205T,ECOJOYERO TURQUESA,5,,,
1205V,ECOJOYERO VINTAGE,,,,
1301T,CAJA SASTRE CHICA TURQUESA,1,,,
1301V,CAJA SASTRE CHICA VINTAGE,3,,,
1304,CAJA SASTRE TAPA INTEGRADA MED. 40X31X15,,,,
