cod,desc,cant,estante,nivel,costo_unitario
1002C,Ecoburo combo zapatera 12 espacios cuadros,1,,,
1002FL,Ecoburo combo zapatera 12 espacios flores lila,0,,,
1002FM,Ecoburo combo zapatera 12 espacios flores moradas,1,,,
1002R,Ecoburo combo zapatera 12 espacios rayas,1,,,
1003FL,ECOBURO COMBO ZAPATERA 6 ESPACIOS FLORES LILA,2,,,
1003FM,ECOBURO COMBO ZAPATERA 6 ESPACIOS FLORES MORADAS,2,,,
1004FM,ECOBURO COMBO ZAPATERA 9 ESPACIOS FLORES MORADAS,2,,,
1005C,Ecoburo combo zapatera 8 espacios cuadros,1,,,
1005FL,Ecoburo combo zapatera 8 espacios flores lila, -   ,,,
1005FM,Ecoburo combo zapatera 8 espacios flores moradas,1,,,
1005R,Ecoburo combo zapatera 8 espacios rayas,1,,,
1007C,Ecoburo combo p/bolsa de dama cuadros, -   ,,,
1007FL,Ecoburo combo p/bolsa de dama flores lila, -   ,,,
1007FM,Ecoburo combo p/bolsa de dama flores moradas, -   ,,,
1007R,Ecoburo combo p/bolsa de dama rayas, -   ,,,
1017T,Ecoburo combo zapatera 8 espacios turquesa, -   ,,,
1017V,Ecoburo combo zapatera 8 espacios vintage, -   ,,,
1018T,Ecoburo combo zapatera 12 espacios turquesa, -   ,,,
1018V,Ecoburo combo zapatera 12 espacios vintage, -   ,,,
1101,Archiva extra ,50,,,
1201C,Ecoburo 3 cajones cuadros,1,,,
1201FL,Ecoburo 3 cajones  flores lila,1,,,
1201R,Ecoburo 3 cajones  rayas,1,,,
1203,ECOPAPELERO 2 CAJONES,1,,,
1205T,Ecojoyero turquesa,3,,,
1205V,Ecojoyero vintage,3,,,
1301T,Caja sastre chica turquesa,14,,,
1301V,Caja sastre chica vintage,10,,,
1305,Caja sastre mini,10,,,
1306,Caja sastre chica, -   ,,,
1307,Caja sastre mediana,7,,,
1308,Caja sastre grande,4,,,
1309C,Caja sastre chica decorada cuadros,5,,,
1309FL,Caja sastre chica decorada flores lila,3,,,
1309R,Caja sastre chica decorada rayas,4,,,
1309Z,Caja sastre chica decorada zigzag,0,,,
1310C,Caja sastre mediana decorada cuadros,5,,,
1310FL,Caja sastre mediana decorada flores lila,6,,,
1310R,Caja sastre mediana decorada rayas,5,,,
1310Z,Caja sastre mediana decorada zigzag,0,,,
1311C,Caja sastre grande decorado cuadros,3,,,
1311FL,Caja sastre grande decorado flores lila,5,,,
1311R,Caja sastre grande decorado rayas,8,,,
1311Z,Caja sastre grande decorado zigzag,0,,,
1502,Archivo plástico oficio,8,,,
