cod,desc,cant,estante,nivel,costo_unitario
1002C,Ecoburo combo zapatera 12 espacios cuadros,0,,,
1002FL,Ecoburo combo zapatera 12 espacios flores lila,1,,,
1002FM,Ecoburo combo zapatera 12 espacios flores moradas,0,,,
1002R,Ecoburo combo zapatera 12 espacios rayas,1,,,
1003C,ECOBURO COMBO ZAPATERA 6 ESPACIOS CUADROS,0,,,
1003FL,ECOBURO COMBO ZAPATERA 6 ESPACIOS FLORES LILA,0,,,
1003FM,ECOBURO COMBO ZAPATERA 6 ESPACIOS FLORES MORADAS,0,,,
1003R,ECOBURO COMBO ZAPATERA 6 ESPACIOS RAYAS,0,,,
1004C,ECOBURO COMBO ZAPATERA 9 ESPACIOS CUADROS,0,,,
1004FL,ECOBURO COMBO ZAPATERA 9 ESPACIOS FLORES LILA,0,,,
1004FM,ECOBURO COMBO ZAPATERA 9 ESPACIOS FLORES MORADAS,0,,,
1004R,ECOBURO COMBO ZAPATERA 9 ESPACIOS RAYAS,0,,,
1005C,Ecoburo combo zapatera 8 espacios cuadros,0,,,
1005FL,Ecoburo combo zapatera 8 espacios flores lila,0,,,
1005FM,Ecoburo combo zapatera 8 espacios flores moradas,0,,,
1005R,Ecoburo combo zapatera 8 espacios rayas,0,,,
1007C,Ecoburo combo p/bolsa de dama cuadros,0,,,
1007FL,Ecoburo combo p/bolsa de dama flores lila,0,,,
1007FM,Ecoburo combo p/bolsa de dama flores moradas,0,,,
1007R,Ecoburo combo p/bolsa de dama rayas,0,,,
1017T,Ecoburo combo zapatera 8 espacios turquesa,0,,,
1017V,Ecoburo combo zapatera 8 espacios vintage,0,,,
1018T,Ecoburo combo zapatera 12 espacios turquesa,0,,,
1018V,Ecoburo combo zapatera 12 espacios vintage,1,,,
1101,Archiva extra ,3,,,
1201C,Ecoburo 3 cajones cuadros,0,,,
1201FL,Ecoburo 3 cajones  flores lila,0,,,
1201R,Ecoburo 3 cajones  rayas,0,,,
1205T,Ecojoyero turquesa,0,,,
1205V,Ecojoyero vintage,1,,,
1301T,Caja sastre chica turquesa,0,,,
1301V,Caja sastre chica vintage,0,,,
1305,Caja sastre mini,8,,,
1306,Caja sastre chica,33,,,
1307,Caja sastre mediana,6,,,
1308,Caja sastre grande,1,,,
1309C,Caja sastre chica decorada cuadros,0,,,
1309FL,Caja sastre chica decorada flores lila,0,,,
1309R,Caja sastre chica decorada rayas,0,,,
1309Z,Caja sastre chica decorada zigzag,0,,,
1310C,Caja sastre mediana decorada cuadros,0,,,
1310FL,Caja sastre mediana decorada flores lila,0,,,
1310R,Caja sastre mediana decorada rayas,0,,,
1310Z,Caja sastre mediana decorada zigzag,0,,,
1311C,Caja sastre grande decorado cuadros,0,,,
1311FL,Caja sastre grande decorado flores lila,0,,,
1311R,Caja sastre grande decorado rayas,0,,,
1311Z,Caja sastre grande decorado zigzag,0,,,
1502,Archivo plÃ¡stico oficio,0,,,
1503,Archivo plÃ¡stico economico,1,,,
1801,Lh 00 neceser,0,,,
1802C,Pc archivo 80 decorada cuadros,1,,,
1802FL,Pc archivo 80 decorada flores lila,5,,,
1802R,Pc archivo 80 decorada rayas,1,,,
1803C,Pc archivo 50 decorada cuadros,0,,,
1803FL,Pc archivo 50 decorada flores lila,4,,,
1803R,Pc archivo 50 decorada rayas,2,,,
1804C,Pc archivo 30 decorada cuadros,0,,,
1804FL,Pc archivo 30 decorada flores lila,2,,,
1804R,Pc archivo 30 decorada rayas,1,,,
1805C,Lh 00 neceser impreso cuadros,0,,,
1805FL,Lh 00 neceser impreso flores lila,0,,,
1805R,Lh 00 neceser impreso rayas,0,,,
1806,Pc archivo 55 decorada madera,5,,,
1807,Pc archivo decorada hojas,2,,,
1905C,Ecoburo combo gde. 4 caj. Cuadros,0,,,
1905FL,Ecoburo combo gde. 4 caj. Flores lila,0,,,
1905FM,Ecoburo combo gde. 4 caj. Flores moradas,0,,,
1905R,Ecoburo combo gde. 4 caj. Rayas,0,,,
1906C,Ecoburo combo 3 cajones cuadros,0,,,
1906FL,Ecoburo combo 3 cajones flores lila,0,,,
1906FM,Ecoburo combo 3 cajones flores moradas,0,,,
1906R,Ecoburo combo 3 cajones rayas,0,,,
2001A,Correcajon mediano azul,4,,,
2001R,Correcajon mediano rojo,4,,,
2001V,Correcajon mediano verde,4,,,
2002,Concentra 4 cajon mediano,3,,,
2003A,Correcajon grande azul,3,,,
2003R,Correcajon grande rojo,1,,,
2003V,Correcajon grande verde,0,,,
2005,Concentra 2 correcajon grande,5,,,
2006,Correcajon chico,9,,,
2007,Concentra correcajon chico,9,,,
2008,Concentra cd,0,,,
2010A,Corre cd azul,0,,,
2010R,Corre cd rojo,0,,,
2010V,Corre cd verde,0,,,
2302AM,Cofre chico amarillo,0,,,
2302AZ,Cofre chico azul,0,,,
2302AZM,Cofre chico azul marino,0,,,
2302F,Cofre chico fiusha,0,,,
2302N,Cofre chico naranja,0,,,
2302O,Cofre chico orquidea,0,,,
2302ROJO,Cofre chico rojo,0,,,
2302ROSA,Cofre chico rosa,0,,,
2302V,Cofre chico verde,0,,,
2303AM,Hexagono 3 charolas amarillo,0,,,
2303AZ,Hexagono 3 charolas azul,0,,,
2303AZM,Hexagono 3 charolas azul marino,0,,,
2303F,Hexagono 3 charolas fiusha,0,,,
2303N,Hexagono 3 charolas naranja,0,,,
2303O,Hexagono 3 charolas orquidea,0,,,
2303ROJO,Hexagono 3 charolas rojo,0,,,
2303ROSA,Hexagono 3 charolas rosa,0,,,
2303V,Hexagono 3 charolas verde,0,,,
2304AM,Lapicero c/divisiones amarillo,0,,,
2304AZ,Lapicero c/divisiones azul,0,,,
2304AZM,Lapicero c/divisiones azul marino,0,,,
