cod,desc,cant,,,
1002C,ECOBURO COMBO ZAPATERA 12 ESPACIOS CUADROS,1,,,Modificar la descripcion
1002FL,ECOBURO COMBO ZAPATERA 12 ESPACIOS FLORES LILA,1,,,
1002FM,ECOBURO COMBO ZAPATERA 12 ESPACIOS FLORES MORADAS,1,,,Falta que Maria Elena lo separe por color
1002R,ECOBURO COMBO ZAPATERA 12 ESPACIOS RAYAS,1,,,
1005C,ECOBURO COMBO ZAPATERA 8 ESPACIOS CUADROS,1,,,dar de alta
1005FL,ECOBURO COMBO ZAPATERA 8 ESPACIOS FLORES LILA,1,,,
1005FM,ECOBURO COMBO ZAPATERA 8 ESPACIOS FLORES MORADAS,1,,,Quitar del listado
1005R,ECOBURO COMBO ZAPATERA 8 ESPACIOS RAYAS,1,,,
1007C,ECOBURO COMBO P/BOLSA DE DAMA CUADROS,1,,,
1007FL,ECOBURO COMBO P/BOLSA DE DAMA FLORES LILA,1,,,
1007FM,ECOBURO COMBO P/BOLSA DE DAMA FLORES MORADAS,1,,,
1007R,ECOBURO COMBO P/BOLSA DE DAMA RAYAS,1,,,
1017T,ECOBURO COMBO ZAPATERA 8 ESPACIOS TURQUESA,0,,,
1017V,ECOBURO COMBO ZAPATERA 8 ESPACIOS VINTAGE,0,,,
1018T,ECOBURO COMBO ZAPATERA 12 ESPACIOS TURQUESA,0,,,
1018V,ECOBURO COMBO ZAPATERA 12 ESPACIOS VINTAGE,0,,,
1101,ARCHIVA EXTRA MED.35X15X27,15,,,
1201C,ECOBURO 3 CAJONES CUADROS,1,,,
1201FL,ECOBURO 3 CAJONES  FLORES LILA,1,,,
1201R,ECOBURO 3 CAJONES  RAYAS,1,,,
1205T,ECOJOYERO TURQUESA,2,,,
1205V,ECOJOYERO VINTAGE,2,,,
1301T,CAJA SASTRE CHICA TURQUESA,2,,,
1301V,CAJA SASTRE CHICA VINTAGE,2,,,
1305,CAJA SASTRE MINI,5,,,
1306,CAJA SASTRE CHICA,5,,,
1307,CAJA SASTRE MEDIANA,5,,,
1308,CAJA SASTRE GRANDE,0,,,
1309C,CAJA SASTRE CHICA DECORADA CUADROS,2,,,
1309FL,CAJA SASTRE CHICA DECORADA FLORES LILA,2,,,
1309R,CAJA SASTRE CHICA DECORADA RAYAS,2,,,
1309Z,CAJA SASTRE CHICA DECORADA ZIGZAG,0,,,
1310C,CAJA SASTRE MEDIANA DECORADA CUADROS,2,,,
1310FL,CAJA SASTRE MEDIANA DECORADA FLORES LILA,2,,,
1310R,CAJA SASTRE MEDIANA DECORADA RAYAS,2,,,
1310Z,CAJA SASTRE MEDIANA DECORADA ZIGZAG,0,,,
1311C,CAJA SASTRE GRANDE DECORADO CUADROS,2,,,
1311FL,CAJA SASTRE GRANDE DECORADO FLORES LILA,2,,,
1311R,CAJA SASTRE GRANDE DECORADO RAYAS,2,,,
1311Z,CAJA SASTRE GRANDE DECORADO ZIGZAG,0,,,
1502,ARCHIVO PLÁSTICO OFICIO,5,,,
1503,ARCHIVO PLÁSTICO ECONOMICO,5,,,
1801,LH 00 NECESER,10,,,
1802C,PC ARCHIVO 80 DECORADA CUADROS,2,,,
1802FL,PC ARCHIVO 80 DECORADA FLORES LILA,2,,,
1802R,PC ARCHIVO 80 DECORADA RAYAS,2,,,
1803C,PC ARCHIVO 50 DECORADA CUADROS,2,,,
1803FL,PC ARCHIVO 50 DECORADA FLORES LILA,2,,,
1803R,PC ARCHIVO 50 DECORADA RAYAS,2,,,
1804C,PC ARCHIVO 30 DECORADA CUADROS,2,,,
1804FL,PC ARCHIVO 30 DECORADA FLORES LILA,2,,,
1804R,PC ARCHIVO 30 DECORADA RAYAS,2,,,
1805C,LH 00 NECESER IMPRESO CUADROS,2,,,
1805FL,LH 00 NECESER IMPRESO FLORES LILA,2,,,
1805R,LH 00 NECESER IMPRESO RAYAS,2,,,
1806,PC ARCHIVO 55 DECORADA MADERA ,1,,,
1807,PC ARCHIVO DECORADA HOJAS ,1,,,
1905C,ECOBURO COMBO GDE. 4 CAJ. CUADROS,1,,,
1905FL,ECOBURO COMBO GDE. 4 CAJ. FLORES LILA,1,,,
1905FM,ECOBURO COMBO GDE. 4 CAJ. FLORES MORADAS,1,,,
1905R,ECOBURO COMBO GDE. 4 CAJ. RAYAS,1,,,
1906C,ECOBURO COMBO 3 CAJONES CUADROS,1,,,
1906FL,ECOBURO COMBO 3 CAJONES FLORES LILA,1,,,
1906FM,ECOBURO COMBO 3 CAJONES FLORES MORADAS,0,,,
1906R,ECOBURO COMBO 3 CAJONES RAYAS,0,,,
2001A,CORRECAJON MEDIANO AZUL,4,,,
2001R,CORRECAJON MEDIANO ROJO,4,,,
2001V,CORRECAJON MEDIANO VERDE,4,,,
2002,CONCENTRA 4 CAJON MEDIANO,3,,,
2003A,CORRECAJON GRANDE AZUL,2,,,
2003R,CORRECAJON GRANDE ROJO,2,,,
2003V,CORRECAJON GRANDE VERDE,2,,,
2005,CONCENTRA 2 CORRECAJON GRANDE,3,,,
2006,CORRECAJON CHICO,6,,,
2007,CONCENTRA CORRECAJON CHICO,0,,,
2008,CONCENTRA CD,3,,,
2010A,CORRE CD AZUL,2,,,
2010R,CORRE CD ROJO,2,,,
2010V,CORRE CD VERDE,2,,,
2302AM,COFRE CHICO AMARILLO,0,,,
2302AZ,COFRE CHICO AZUL,0,,,
2302AZM,COFRE CHICO AZUL MARINO,0,,,
2302F,COFRE CHICO FIUSHA,0,,,
2302N,COFRE CHICO NARANJA,0,,,
2302O,COFRE CHICO ORQUIDEA,0,,,
2302ROJO,COFRE CHICO ROJO,0,,,
2302ROSA,COFRE CHICO ROSA,0,,,
2302V,COFRE CHICO VERDE,0,,,
2303AM,HEXAGONO 3 CHAROLAS AMARILLO,0,,,
2303AZ,HEXAGONO 3 CHAROLAS AZUL,0,,,
2303AZM,HEXAGONO 3 CHAROLAS AZUL MARINO,0,,,
2303F,HEXAGONO 3 CHAROLAS FIUSHA,0,,,
2303N,HEXAGONO 3 CHAROLAS NARANJA,0,,,
2303O,HEXAGONO 3 CHAROLAS ORQUIDEA,0,,,
2303ROJO,HEXAGONO 3 CHAROLAS ROJO,0,,,
2303ROSA,HEXAGONO 3 CHAROLAS ROSA,0,,,
2303V,HEXAGONO 3 CHAROLAS VERDE,0,,,
2304AM,LAPICERO C/DIVISIONES AMARILLO,0,,,
2304AZ,LAPICERO C/DIVISIONES AZUL,0,,,
2304AZM,LAPICERO C/DIVISIONES AZUL MARINO,0,,,
2304F,LAPICERO C/DIVISIONES FIUSHA,0,,,
2304N,LAPICERO C/DIVISIONES NARANJA,0,,,
2304O,LAPICERO C/DIVISIONES ORQUIDEA,0,,,
2304ROJO,LAPICERO C/DIVISIONES ROJO,0,,,
2304ROSA,LAPICERO C/DIVISIONES ROSA,0,,,
2304V,LAPICERO C/DIVISIONES VERDE,0,,,
2305AM,DISPENSER UNIPECOS AMARILLO,0,,,
2305AZ,DISPENSER UNIPECOS AZUL,0,,,
2305AZM,DISPENSER UNIPECOS AZUL MARINO,0,,,
2305F,DISPENSER UNIPECOS FIUSHA,0,,,
2305N,DISPENSER UNIPECOS NARANJA,0,,,
2305O,DISPENSER UNIPECOS ORQUIDEA,0,,,
2305ROJO,DISPENSER UNIPECOS ROJO,0,,,
2305ROSA,DISPENSER UNIPECOS ROSA,0,,,
2305V,DISPENSER UNIPECOS VERDE,0,,,
2306AM,GAVETERO 3 CAJONES AMARILLO,0,,,
2306AZ,GAVETERO 3 CAJONES AZUL,0,,,
2306AZM,GAVETERO 3 CAJONES AZUL MARINO,0,,,
2306F,GAVETERO 3 CAJONES FIUSHA ,0,,,
2306N,GAVETERO 3 CAJONES NARANJA,0,,,
2306O,GAVETERO 3 CAJONES ORQUIDEA,0,,,
2306ROJO,GAVETERO 3 CAJONES ROJO,0,,,
