cod,desc,cant,estante,nivel,costo_unitario
1002,ecoburo combo zapatera 12 espacios 38x33x63,100,1,1,120.34
1005,ecoburo combo zapatera 8 espacios 38x33x63,500,2,2,100.35
1007,ecoburo combo p/bolsa de dama 38x33x63,200,3,3,99.28
1101,archiva extra 35x15x27,300,4,4,10.5
1201,ecoburo (3 cajones) 26x36x28,150,5,5,8.5
1205,ecojoyero vintage y turquesa 10.5x12.8x15,450,6,1,9.23
1301,caja sastre chica vintage y turquesa  35x26x10,325,7,2,7.45
1305,caja sastre mini 22.5x30.5x7,100,8,3,1456
1306,caja sastre chica  35x26x10,500,9,4,6.55
1307,caja sastre mediana 49x42x10,200,10,5,4.58
1308,caja sastre grande 81x50x13,300,1,1,10.5
1309,caja sastre chica impresa  35x26x10,150,2,2,8.5
1310,caja sastre mediana impresa 49x42x10,450,3,3,9.23
1311,caja sastre grande impresa 81x50x13,325,4,4,7.45
1502,archivo plástico oficio 50x38x26,100,5,5,1456
1503,archivo plástico economico 37x31x28,500,6,1,6.55
1801,lh 00 neceser 25x17x12.5,200,7,2,4.58
1802,pc archivo 80 decorada 78x40x30,300,8,3,10.5
1803,pc archivo 50 decorada 50x35x25,150,9,4,8.5
1804,pc archivo 30 decorada 38x30x25,450,10,5,9.23
1805,lh 00 neceser decorado 25x17x12.5,325,1,1,7.45
1905,ecoburo combo grande 4 cajones 38x33x63,100,2,2,1456
1906,ecoburo combo chico 3 cajones 38x34x49,500,3,3,6.55
2001,correcajon mediano 18x14x10,200,4,4,4.58
2002,concentra cajon mediano 30.5x19.5x22,300,5,5,10.5
2003,correcajon grande 23x23x15.5,150,6,1,8.5
2005,concentra cajon grande 23x24.5x31.5,450,7,2,9.23
2006,correcajon chico 12.7x19.2x8.4,325,8,3,7.45
2007,concentra cajon chico 20x27x9,100,9,4,1456
2008,concentra cd 30.4x16.7x26,500,10,5,6.55
2010,corre cd 24.5x14x15.5,200,1,1,4.58
2302,cofre chico 18x12x8.5,300,2,2,10.5
2303,hexagono 3 charolas 10.5x10.5x11,150,3,3,8.5
2304,lapicero c/divisiones 8.5x8.5x9.5,450,4,4,9.23
2305,dispenser unipecos 9.5x9.5x3.5,325,5,5,7.45
2306,gavetero 3 cajones 12x14x12,100,6,1,1456
2307,hexagono grande 13.5x13.5x8,500,7,2,6.55
2308,hexágono mediano  12x12x7,200,8,3,4.58
2309,hexágono chico 10x10x7,300,9,4,10.5
2313,alhajero secreter 17x11.5x9,150,10,5,8.5
2314,porta unipcos c/cajón 11x11x10.5,450,1,1,9.23
2315,revistero 25x10.5x30,325,2,2,7.45
2317,portatarjeta 10x6x3.5,100,3,3,1456
2318,portaretratos 19x24,500,4,4,6.55
2319,caja lapicera 22x8x3.5,200,5,5,4.58
2320,clinera 23x12x5.5,300,6,1,10.5
2323,estuche p/reloj 20.5x5.5x2.5,150,7,2,8.5
2324,estuchep/pluma 17x5x2,450,8,3,9.23
2326,joyero rectangular  26.5x12x8,325,9,4,7.45
2327,octagono 25x25x14,100,10,5,1456
2328,porta clips 11x7x7,500,1,1,6.55
2401,pc archivo 80 super 55 ect 78x40x30,200,2,2,4.58
2402,pc archivo 70 oficio largo 55 ect 60x35x25,300,3,3,10.5
2403,pc archivo 50 oficio 55 ect 50x35x25,150,4,4,8.5
2404,pc archivo 40 carta 55 ect 50x31x25,450,5,5,9.23
2405,pc archivo 30 mixto 55 ect 38x30x25,325,6,1,7.45
2406,pc archivo 20 1/2 carta largo 44 ect 50x23x16,100,7,2,1456
2407,pc archivo 10 1/2 carta 44 ect 25x23x16,500,8,3,6.55
2409,pc archivo 60 carta larga 55 ect 60x31x25,200,9,4,4.58
2410,pc archivo 55 archivo carpeta 55 ect 50x35x29,300,10,5,10.5
2413,pc archivo 40 blanca alta 44 ect 50x31x25,150,1,1,8.5
2501,dc archivo 70 oficio larga económica 40 ect 60x35x25,450,2,2,9.23
2502,dc archivo 60 carta larga económica 40 ect 60x31x25,325,3,3,7.45
2503,dc archivo 50 oficio económica 40 ect 50x35x25,100,4,4,1456
2504,dc archivo 40 carta económica 40 ect 50x31x25,500,5,5,6.55
2505,dc archivo 30 archivo mixta económica 40 ect 38x30x25,200,6,1,4.58
2506,dc archivo 55 archivo carpeta 40 ect 50x35x29,300,7,2,10.5
2602,eco 40 archivo carta 26 ect 50x31x25,150,8,3,8.5
2603,eco 50 archivo oficio 26 ect 50x35x25,450,9,4,9.23
2804,archidiario 44 ect 39x17.5x30,325,10,5,7.45
2900,sobre jiffylite # 0 16x22,100,1,1,1456
2901,sobre jiffylite # 1 18.5x27.5,500,2,2,6.55
2902,sobre jiffylite # 2 21.5x30.5,200,3,3,4.58
2903,sobre jiffylite # 4 24x37,300,4,4,10.5
2904,sobre jiffylite # 5 27x37,150,5,5,8.5
2905,sobre jiffylite # 7 36.5x50.5,450,6,1,9.23
2906,sobre jiffylite # 000 12x18,325,7,2,7.45
2907,sobre manila t/carta 23x30.5,100,8,3,1456
2908,sobre manila t/oficio 26x34,500,9,4,6.55
3103,archigaveta oficio largo 44 ect 40x64.5x28,200,10,5,4.58
3203,archiva oficio corr. bond 44 ect 35x10x26.5,300,1,1,10.5
3204,archiva carta corr. bond  44 ect 31x10x26.5,150,2,2,8.5
3401,maletin micro blanco 35x27x9,450,3,3,9.23
3402,maletin blanco corrugado 44 ect 37.5x26x10.5,325,4,4,7.45
3404,sobre ecológico carta 44 ect 34.5x24.5x2.8,100,5,5,1456
3405,sobre ecológico t/oficio 44 ect 36x25.5x3,500,6,1,6.55
3501,reviarchivo grande 29 ect 26.5x12x25.9,200,7,2,4.58
3502,reviarchivo chico 26 ect 23x10x24,300,8,3,10.5
3503,revistero chico c/e vintage y turqueza 23x10x25,150,9,4,8.5
3206,archiva gob 1 44 ect 38x12x30,450,10,5,9.23
3601,archiva gob 1 economica 29 ect 38x12x30,325,1,1,7.45
3602,archiva gob 2 44 ect 38x19x30,100,2,2,1456
3701,tubo portaplano  1.09 cm,500,3,3,6.55
3702,tubo portaplano  91.5 cm,200,4,4,4.58
3703,tubo portaplano  78 cm,300,5,5,10.5
3704,tubo portaplano  66 cm,150,6,1,8.5
3705,tubo portaplano  33.5,450,7,2,9.23
3801,tarjetero grande 44 ect 22x14x13,325,8,3,7.45
3802,tarjetero mediano 44 ect 15.5x10.5x11,100,9,4,1456
3803,tarjetero chico 44 ect 13.5x8.5x9,500,10,5,6.55
3912,carpeta c/herraje de argolla 3/4 carta kraft ,200,1,1,4.58
3913,"carpeta c/herraje de argolla 1"" carta kraft ",300,2,2,10.5
3914,"carpeta c/herraje de argolla 2"" carta kraft ",150,3,3,8.5
3915,"carpeta c/herraje de argolla 3"" carta kraft ",450,4,4,9.23
3916,folder carta kraft  29.6x23.5,325,5,5,7.45
3917,folder oficio kraft  34.6x23.5,100,6,1,1456
3922,dispenser unipecos kraft ,500,7,2,6.55
3924,lapicero con divisiones kraft ,200,8,3,4.58
3925,portatarjetas kraft ,300,9,4,10.5
3926,sobre tipo bolsa carta kraft  ,150,10,5,8.5
3927,sobre tipo bolsa oficio kraft  ,450,1,1,9.23
3932,libreta forma francesa kraft ,325,2,2,7.45
3933,libreta 1/4 de carta kraft ,100,3,3,1456
3935,pluma ecologica de papel reciclado kraft  ,500,4,4,6.55
3941,archiva carta ecologica 29 ect 31x10x26.5,200,5,5,4.58
3942,archiva oficio ecologica 29 ect 35x10x26.5,300,6,1,10.5
3943,reviarchivo grande ecologico 29 ect 26.5x12x26,150,7,2,8.5
3944,archiva gob 1 ecologica ,450,8,3,9.23
3945,portaretrato kraft ,325,9,4,7.45
3946,sobre tipo bolsa kraft 1/2 carta  14.5x22,100,10,5,1456
4002,polipack 1/8 x105 1/8 x 105mts,500,1,1,6.55
4004,burbuja de aire chica 3/16 (120 mts) 1.22 x 120 mt,200,2,2,4.58
4005,burbuja de aire gde 1/2 (60 mts) 1.22 x 60 mt,300,3,3,10.5
4101,mic pack(por bolsa) ,150,4,4,8.5
4201,rollo cartón corrugado 2.00 altura,450,5,5,9.23
4202,rollo-microkraft  100 mts. 1.00 altura ,325,6,1,7.45
4203,micro color  77x54,100,7,2,1456
4206,codigo es servicio de empaque ,500,8,3,6.55
4207,lamina de corrugado 29 ect 74 x 121 mt,200,9,4,4.58
4208,lamina de corrugado 29 ect 1.00 x 1.50 mt,300,10,5,10.5
4209,lamina doble corrugado 1.95x2.10mt,150,1,1,8.5
4211,lamina micro bond y kraft .80 x 1.60 mt,450,2,2,9.23
4212,lámina micro bond y kraft .60 x 90 mt,325,3,3,7.45
4213,lámina caple .60 x 1.25 mt,100,4,4,1456
4217,separador p/12 botellas 29 ect ,500,5,5,6.55
4301,rollo papelkraft (precio x kilo) 1.25,200,6,1,4.58
4302,rollo papelkraft(precio x kilo) 90,300,7,2,10.5
4303,rollo papelkraft(precio x kilo) 60,150,8,3,8.5
4304,rollo papelkraft(precio x kilo) 1,450,9,4,9.23
4305,papelkraft 1.25 x metro (180 mts aprox) ,325,10,5,7.45
4401,cinta plástica chica  48 x 50 mts,100,1,1,1456
4402,cinta plástica mediana 48 x 100 mts,500,2,2,6.55
4403,cinta plástica grande 48 x 150 mts,200,3,3,4.58
4404,"despachador de cinta 2"" 2""",300,4,4,10.5
4405,"engomado 3""",150,5,5,8.5
4406,"engomado  2.5""",450,6,1,9.23
4407,"engomado  2""",325,7,2,7.45
4408,"engomado  1""",100,8,3,1456
4412,cinta impresa fragil  ,500,9,4,6.55
4502,millar de sellos 1/2 ,200,10,5,4.58
4503,flejadora ,300,1,1,10.5
4504,pinzas para flejar ,150,2,2,8.5
4507,fleje 1/2 negro precio x kilo ,450,3,3,9.23
4601,cutter grande  ,325,4,4,7.45
4603,cutter chico ,100,5,5,1456
4604,marcador de aceite ,500,6,1,6.55
4605,silicato de sodio galón ,200,7,2,4.58
4606,bola rafia 1 kg aprox ,300,8,3,10.5
4609,rollo de blister 18¨x1200 pies calibre 50,150,9,4,8.5
4612,"etiqueta fragil, hecho en mexico, copa, arriba ",450,10,5,9.23
4613,esquineros 2¨x2¨x1.00,325,1,1,7.45
4615,bola papel arroz 200 mts. aprox. ,100,2,2,1456
4618,etiqueta remitente-destinatario (jgo) ,500,3,3,6.55
4619,cinta masking tape  18x50,200,4,4,4.58
4620,cinta masking tape  24x50,300,5,5,10.5
4625,"blister 5"" x 1500 pies calibre 80 ",150,6,1,8.5
4702,le e7 estantera 44 ect  46x16x13 cm,450,7,2,9.23
4703,le e6 estantera 44 ect 32x11x11 cm,325,8,3,7.45
4704,le e5 estantera 44 ect 30x30x11 cm,100,9,4,1456
4705,le e4 estantera 44 ect 30x15x20 cm,500,10,5,6.55
